category,test_name,low_limit,high_limit,unit,type
Renal / Electrolytes,Creatinine,0.6,1.2,mg/dL,numeric
Renal / Electrolytes,Blood urea,15,45,mg/dL,numeric
Renal / Electrolytes,BUN,7,20,mg/dL,numeric
Renal / Electrolytes,Potassium,3.5,5.1,mEq/L,numeric
Renal / Electrolytes,Sodium,135,145,mEq/L,numeric
Renal / Electrolytes,Bicarbonate,22,29,mEq/L,numeric
Renal / Electrolytes,Uric Acid,3.4,7,mg/dL,numeric
Minerals / Bone,Calcium,8.5,10.2,mg/dL,numeric
Minerals / Bone,Phosphorus,2.5,4.5,mg/dL,numeric
Minerals / Bone,Magnesium,1.7,2.2,mg/dL,numeric
Minerals / Bone,iPTH,10,65,pg/mL,numeric
Minerals / Bone,Vitamin D,30,100,ng/mL,numeric
Liver Function,Total Bilirubin,0.1,1.2,mg/dL,numeric
Liver Function,Indirect Bilirubin (unconjugated),,,mg/dL,numeric
Liver Function,Direct Bilirubin (conjugated),,,mg/dL,numeric
Liver Function,ALT,7,55,U/L,numeric
Liver Function,AST,8,48,U/L,numeric
Liver Function,ALP,40,129,U/L,numeric
Liver Function,GGT,0,60,U/L,numeric
Liver Function,Albumin,3.4,5.4,g/dL,numeric
Hematology,Hb,13.5,17.5,g/dL,numeric
Hematology,MCV,80,100,fL,numeric
Hematology,Total leukocyte count,4000,11000,cells/mm3,numeric
Hematology,Absolute neutrophil count,1500,8000,cells/mm3,numeric
Hematology,Absolute lymphocyte count,1000,4800,cells/mm3,numeric
Hematology,Absolute eosinophil count,,,cells/mm3,numeric
Hematology,Platelet count,150000,450000,cells/mm3,numeric
Metabolic / Iron,HbA1C,4,5.6,%,numeric
Metabolic / Iron,Total Cholesterol,125,200,mg/dL,numeric
Metabolic / Iron,LDL,0,100,mg/dL,numeric
Metabolic / Iron,Triglycerides,,,mg/dL,numeric
Metabolic / Iron,Ferritin,30,400,ng/mL,numeric
Metabolic / Iron,Transferrin saturation index,20,50,%,numeric
Metabolic / Iron,B12,200,900,pg/mL,numeric
Metabolic / Iron,Folate,,,ng/mL,numeric
Inflammatory/Misc,CRP,0,10,mg/L,numeric
Inflammatory/Misc,ESR,0,22,mm/hr,numeric
Inflammatory/Misc,LDH,140,280,U/L,numeric
Inflammatory/Misc,CPK,,,U/L,numeric
Inflammatory/Misc,TSH,0.4,4,mIU/L,numeric
Inflammatory/Misc,T3,,,ng/dL,numeric
Inflammatory/Misc,T4,,,ug/dL,numeric
Immunosuppression,Tacrolimus,5,15,ng/mL,numeric
Immunosuppression,Ciclosporin,100,400,ng/mL,numeric
Immunosuppression,Everolimus,,,ng/mL,numeric
Urine,CUE:Protein,,,,text
Urine,CUE:Blood,,,,text
Urine,CUE:RBC,,,,text
Urine,CUE:WBC,,,,text
Urine,CUE:Glucose,,,,text
Urine,CUE:pH,,,,text
Urine,Urine Creatinine,,,,numeric
Urine,Urine Albumin,,,,numeric
Urine,Urine Microalbumin Creatinine Ratio (UMACR),0,30,mg/mmol,numeric
Urine,Urine Protein Creatinine Ratio (UPCR),0,15,mg/mmol,numeric
Urine,Urine culture,,,,text
Specialized,Blood culture,,,,text
Specialized,Serum protein electrophoresis,,,,text
Specialized,ANA-IFA,,,,text
Specialized,ANA-Profile,,,,text
Specialized,PR3 ANCA,,,,text
Specialized,MPO ANCA,,,,text
Specialized,US Abdomen,,,,text
Specialized,Blood Group,,,,text
Specialized,C3,,,,numeric
Specialized,C4,,,,numeric
Urine Chemistry,Urine osmolality,,,,numeric
Urine Chemistry,Urine sodium,,,,numeric
Urine Chemistry,Urine potassium,,,,numeric
Urine Chemistry,Urine chloride,,,,numeric
